average energy per frame (uJ),f1
7.09E+03,0.150365449
1.39E+04,0.099397753
2.64E+04,0.088759193
4.03E+04,0.080593567
4.85E+04,0.158595
5.68E+04,0.085126354
7.01E+04,0.178630435
7.77E+04,0.170380435
1.07E+05,0.277108799
1.36E+05,0.471871186
1.73E+05,0.388457597
2.04E+05,0.616507439
2.12E+05,0.590346369
2.35E+05,0.619431627
2.37E+05,0.712227147
3.23E+05,0.693687994
3.96E+05,0.627534143
